out	asmid	species	strain	locustag	busco	hlen	table	genome_fa
GCA_001599635.1_JCM_22485_assembly_v001	GCA_001599635.1_JCM_22485_assembly_v001	Actinomucor elegans	JCM 22485	F7B78768	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_001599635.1_JCM_22485_assembly_v001.fa.gz
GCA_004216415.1_S18-22	GCA_004216415.1_S18-22	Aeminium ludgeri	E14	FD68B63E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_004216415.1_S18-22.fa.gz
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	UT-M0000030	F7128CE3	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov.fa.gz
GCA_041722675.1_BD885	GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	UT-M0000367	F1E1EE23	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_041722675.1_BD885.fa.gz
GCA_038094355.1_BD703-Stobilomyces-lepidellus	GCA_038094355.1_BD703-Stobilomyces-lepidellus	Afroboletus lepidellus	UT-M0000099	F9CCCC79	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038094355.1_BD703-Stobilomyces-lepidellus.fa.gz
GCA_002718315.1_ASM271831v1	GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	HM26-F1	F165E458	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_002718315.1_ASM271831v1.fa.gz
GCA_943193715.1_gfAgaBisp1.1	GCA_943193715.1_gfAgaBisp1.1	Agaricus bisporus		FC3CD921	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_943193715.1_gfAgaBisp1.1.fa.gz
GCA_041430195.1_ASM4143019v1	GCA_041430195.1_ASM4143019v1	Agaricus bisporus	A10_9	F878B385	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_041430195.1_ASM4143019v1.fa.gz
GCA_043381075.1_ASM4338107v1	GCA_043381075.1_ASM4338107v1	Agaricus bisporus	A13-20	F37090CD	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_043381075.1_ASM4338107v1.fa.gz
GCA_046056105.1_ASM4605610v1	GCA_046056105.1_ASM4605610v1	Agaricus bisporus	A33_49	F38F738D	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_046056105.1_ASM4605610v1.fa.gz
GCA_046056185.1_ASM4605618v1	GCA_046056185.1_ASM4605618v1	Agaricus bisporus	A33_62	F51025C7	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_046056185.1_ASM4605618v1.fa.gz
